,added_at,artist_ids,artists,id,name,release_date
59,2019-07-18T03:40:42Z,"6eUKZXaKkcviH0Ku9w2n3V, 0Y5tJX1MQlPlqiwlOH1tJY","Ed Sheeran, Travis Scott",1DhRbox3xkceP64k3JeYfW,Antisocial (with Travis Scott),2019-07-12
60,2019-07-18T03:40:34Z,"6eUKZXaKkcviH0Ku9w2n3V, 6LuN9FCkKOj5PcnpouEgny","Ed Sheeran, Khalid",70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),2019-07-12
61,2019-07-18T03:40:30Z,"6eUKZXaKkcviH0Ku9w2n3V, 1anyVhU62p31KFi8MEzkbf, 21WS9wngs9AqFckK7yYJPM","Ed Sheeran, Chance the Rapper, PnB Rock",4wuCQX7JvAZLlrcmH4AeZF,Cross Me (feat. Chance the Rapper & PnB Rock),2019-07-12
62,2019-07-17T23:00:04Z,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,2Jh3UqxnHJMyzMzku4uOtE,Feeling,2019-03-08
63,2019-07-17T22:55:42Z,"7jVv8c5Fj3E9VhNjxT4snq, 4kYSro6naA4h99UJvo89HB","Lil Nas X, Cardi B",4ak7xjvBeBOcJGWFDX9w5n,Rodeo,2019-06-21
64,2019-07-17T22:49:26Z,"5f7VJjfbwm532GiveGC0ZK, 1RyvyyTE3xzB2ZywiAwp0i","Lil Baby, Future",2wZjsbwmWfNVslgV5afl1L,Out The Mud,2019-06-21
65,2019-07-17T22:49:24Z,"6i392l38cR3uBPF0DbNs7S, 5f7VJjfbwm532GiveGC0ZK, 4r63FhuTkUYltbVAg5TQnk","Quality Control, Lil Baby, DaBaby",2nKYHpmwjLaEOXS3o7QMiz,Baby,2019-07-17
66,2019-07-17T22:49:16Z,"7rkW85dBwwrJtlHRDkJDAC, 20sxb77xiYeusSH8cVdatc","NAV, Meek Mill",5rU6kDNXZLXIinFezpbWbO,Tap (feat. Meek Mill),2019-03-26
67,2019-07-17T22:48:24Z,5LHRHt1k9lMyONurDHEdrp,Tyga,1zZEly0sLmyDm75c1pAqYf,Lightskin Lil Wayne,2019-06-07
68,2019-07-16T22:51:42Z,"0Y5tJX1MQlPlqiwlOH1tJY, 4O15NlyKLIASxsJ0PrXPfz, 5K4W6rqBFWDnAN6FQUkS6x","Travis Scott, Lil Uzi Vert, Kanye West",3DoBTwfr8yi2LN08SBpFkN,Watch (feat. Lil Uzi Vert & Kanye West),2018-05-04
69,2019-07-16T22:37:18Z,"6extd4B6hl8VTmnlhpl2bY, 0Y5tJX1MQlPlqiwlOH1tJY, 0VRj0yCOv2FXJNP47XQnx5","Huncho Jack, Travis Scott, Quavo",7g7raxdQpiLZT7aOlib4S1,Motorcycle Patches,2017-12-21
70,2019-07-15T04:45:38Z,0zOcE3mg9nS6l3yxt1Y0bK,The Fray,5fVZC9GiM4e8vu99W0Xf6J,How to Save a Life,2005-09-13
71,2019-07-15T04:45:29Z,3AQRLZ9PuTAozP28Skbq8V,The Script,1fyysXwSGNtMeqMBLwW3SI,Breakeven,2008-07-14
72,2019-07-15T04:43:08Z,"69GGBxA162lTqCwzJG5jLp, 4gzpq5DPGxSnKTe4SA8HAU","The Chainsmokers, Coldplay",6RUKPb4LETWmmr3iAEQktW,Something Just Like This,2017-04-07
73,2019-07-15T04:39:18Z,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,3AJwUDP919kvQ9QcozQPxg,Yellow,2000-07-10
